"rank","gid","role","priority_score","why"
1,"100000003684369100","distributor",0.994269,"Гипотеза: веерная раздача. Также признаки консолидации: 24 плательщика. Получено 3,85 млн ₸; 62 получателя: 8,59 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 6 исходными клиентами. Клиент уже известен правоохранителям, но является точкой сбора/раздачи — ключ к уровню выше."
2,"100000008165763100","distributor",0.982021,"Гипотеза: веерная раздача. Также признаки консолидации: 15 плательщиков. Получено 1,17 млн ₸; 17 получателей: 1,27 млн ₸. Отдано дальше 109% наблюдаемого входа. Оборот больше, чем у 97% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 6 исходными клиентами."
3,"100000003115284100","consolidator",0.977142,"Гипотеза: признаки консолидации. 8 плательщиков: 2,16 млн ₸; 2 получателя: 517 тыс ₸. Отдано дальше 24% наблюдаемого входа. Оборот больше, чем у 98% активных узлов; связей больше, чем у 95%. По путям до 4 переходов связан с 9 исходными клиентами."
4,"100000008603629100","distributor",0.9762,"Гипотеза: веерная раздача. Также признаки консолидации: 19 плательщиков. Получено 1,82 млн ₸; 61 получатель: 4,99 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 4 исходными клиентами."
5,"100000000331309100","distributor",0.975213,"Гипотеза: веерная раздача. Также признаки консолидации: 5 плательщиков. Получено 984,63 тыс ₸; 99 получателей: 23 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 4 исходными клиентами."
6,"100000000437046100","coordinator",0.972364,"Гипотеза: координация. Также признаки консолидации: 9 плательщиков. Получено 1,11 млн ₸; 42 получателя: 7,61 млн ₸. В 7 хабов направлено 24% выхода. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 4 исходными клиентами."
7,"100000000343175100","distributor",0.968416,"Гипотеза: веерная раздача. Также признаки консолидации: 8 плательщиков. Получено 178,71 тыс ₸; 31 получатель: 4 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 4 исходными клиентами. Клиент уже известен правоохранителям, но является точкой сбора/раздачи — ключ к уровню выше."
8,"100000004156082100","distributor",0.967205,"Гипотеза: веерная раздача. Также признаки консолидации: 5 плательщиков. Получено 377,37 тыс ₸; 26 получателей: 2,32 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 4 исходными клиентами."
9,"100000008346837100","distributor",0.965825,"Гипотеза: веерная раздача. Также признаки консолидации: 9 плательщиков. Получено 254,36 тыс ₸; 25 получателей: 1,26 млн ₸. Источник средств вне выборки. Оборот больше, чем у 95% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 6 исходными клиентами."
10,"100000002398779100","consolidator",0.964838,"Гипотеза: признаки консолидации. 13 плательщиков: 1,1 млн ₸; 1 получатель: 66 тыс ₸. Отдано дальше 6% наблюдаемого входа. Оборот больше, чем у 93% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 5 исходными клиентами."
11,"100000004015047100","consolidator",0.963493,"Гипотеза: признаки консолидации. 9 плательщиков: 919,1 тыс ₸; 1 получатель: 69,19 тыс ₸. Отдано дальше 8% наблюдаемого входа. Оборот больше, чем у 92% активных узлов; связей больше, чем у 95%. По путям до 4 переходов связан с 8 исходными клиентами."
12,"100000007442518100","distributor",0.960229,"Гипотеза: веерная раздача. Также признаки консолидации: 5 плательщиков. Получено 510 тыс ₸; 9 получателей: 4,42 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 4 исходными клиентами."
13,"100000002957787100","distributor",0.954307,"Гипотеза: веерная раздача. 4 плательщика: 84,96 тыс ₸; 34 получателя: 1,28 млн ₸. Источник средств вне выборки. Оборот больше, чем у 94% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 4 исходными клиентами."
14,"100000003016635100","distributor",0.949518,"Гипотеза: веерная раздача. Также признаки консолидации: 8 плательщиков. Получено 586,98 тыс ₸; 73 получателя: 9,41 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 3 исходными клиентами. Клиент уже известен правоохранителям, но является точкой сбора/раздачи — ключ к уровню выше."
15,"100000002718366100","consolidator",0.946646,"Гипотеза: признаки консолидации. 6 плательщиков: 2,52 млн ₸; 0 получателей: 0 ₸. Отдано дальше 0% наблюдаемого входа. Оборот больше, чем у 97% активных узлов; связей больше, чем у 91%. По путям до 4 переходов связан с 5 исходными клиентами."
16,"100000008710791100","coordinator",0.946086,"Гипотеза: координация. 3 плательщика: 181,51 тыс ₸; 23 получателя: 5,52 млн ₸. В 3 хаба направлено 29% выхода. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 98%. По путям до 4 переходов связан с 5 исходными клиентами."
17,"100000006866783100","distributor",0.94548,"Гипотеза: веерная раздача. Также признаки консолидации: 13 плательщиков. Получено 838,81 тыс ₸; 67 получателей: 3,95 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 3 исходными клиентами. Клиент уже известен правоохранителям, но является точкой сбора/раздачи — ключ к уровню выше."
18,"100000008477350100","distributor",0.945233,"Гипотеза: веерная раздача. Также признаки консолидации: 11 плательщиков. Получено 610,1 тыс ₸; 39 получателей: 3,37 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 3 исходными клиентами."
19,"100000001530983100","distributor",0.941173,"Гипотеза: веерная раздача. 4 плательщика: 564,16 тыс ₸; 11 получателей: 1,83 млн ₸. Источник средств вне выборки. Оборот больше, чем у 97% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 5 исходными клиентами."
20,"100000008743913100","distributor",0.93902,"Гипотеза: веерная раздача. 3 плательщика: 149,3 тыс ₸; 13 получателей: 1,85 млн ₸. Источник средств вне выборки. Оборот больше, чем у 96% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 6 исходными клиентами."
21,"100000005382566100","consolidator",0.938044,"Гипотеза: признаки консолидации. 7 плательщиков: 393,07 тыс ₸; 1 получатель: 50 тыс ₸. Входящие исходного клиента неполны. Оборот больше, чем у 83% активных узлов; связей больше, чем у 94%. По путям до 4 переходов связан с 11 исходными клиентами. Клиент уже известен правоохранителям, но является точкой сбора/раздачи — ключ к уровню выше."
22,"100000008489922100","distributor",0.937293,"Гипотеза: веерная раздача. 3 плательщика: 262,01 тыс ₸; 36 получателей: 3,79 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 3 исходными клиентами."
23,"100000001857829100","distributor",0.934264,"Гипотеза: веерная раздача. Также признаки консолидации: 6 плательщиков. Получено 888,53 тыс ₸; 16 получателей: 2,39 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 98%. По путям до 4 переходов связан с 3 исходными клиентами."
24,"100000008512827100","distributor",0.93413,"Гипотеза: веерная раздача. 3 плательщика: 107,95 тыс ₸; 10 получателей: 1,94 млн ₸. Источник средств вне выборки. Оборот больше, чем у 97% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 5 исходными клиентами."
25,"100000005910114100","coordinator",0.931516,"Гипотеза: координация. 3 плательщика: 326,14 тыс ₸; 19 получателей: 1,47 млн ₸. В 11 хабов направлено 40% выхода. Источник средств вне выборки. Оборот больше, чем у 96% активных узлов; связей больше, чем у 98%. По путям до 4 переходов связан с 4 исходными клиентами."
26,"100000003635170100","transit",0.931146,"Гипотеза: транзит. 3 плательщика: 268,5 тыс ₸; 4 получателя: 253,5 тыс ₸. Отдано дальше 94% наблюдаемого входа. Оборот больше, чем у 86% активных узлов; связей больше, чем у 93%. По путям до 4 переходов связан с 5 исходными клиентами."
27,"100000001616816100","consolidator",0.928051,"Гипотеза: признаки консолидации. 5 плательщиков: 176,19 тыс ₸; 3 получателя: 181,33 тыс ₸. Входящие исходного клиента неполны. Оборот больше, чем у 80% активных узлов; связей больше, чем у 94%. По путям до 4 переходов связан с 7 исходными клиентами. Клиент уже известен правоохранителям, но является точкой сбора/раздачи — ключ к уровню выше."
28,"100000006274203100","terminal",0.927591,"Гипотеза: конечный получатель за период. 2 плательщика: 3,42 млн ₸; 3 получателя: 72 тыс ₸. Отдано дальше 2% наблюдаемого входа. Оборот больше, чем у 98% активных узлов; связей больше, чем у 88%. По путям до 4 переходов связан с 4 исходными клиентами."
29,"100000002741024100","consolidator",0.926256,"Гипотеза: признаки консолидации. 5 плательщиков: 817,98 тыс ₸; 6 получателей: 434,99 тыс ₸. Отдано дальше 53% наблюдаемого входа. Оборот больше, чем у 94% активных узлов; связей больше, чем у 96%. По путям до 4 переходов связан с 3 исходными клиентами."
30,"100000004299488100","consolidator",0.924865,"Гипотеза: признаки консолидации. 6 плательщиков: 1,75 млн ₸; 2 получателя: 345 тыс ₸. Отдано дальше 20% наблюдаемого входа. Оборот больше, чем у 97% активных узлов; связей больше, чем у 94%. По путям до 4 переходов связан с 3 исходными клиентами."
31,"100000007594394100","consolidator",0.924338,"Гипотеза: признаки консолидации. 6 плательщиков: 395,38 тыс ₸; 1 получатель: 3,38 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 93%. По путям до 4 переходов связан с 4 исходными клиентами."
32,"100000008547948100","coordinator",0.922622,"Гипотеза: координация. Также признаки консолидации: 6 плательщиков. Получено 212,66 тыс ₸; 26 получателей: 5,19 млн ₸. В 6 хабов направлено 27% выхода. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 3 исходными клиентами."
33,"100000007055802100","consolidator",0.920716,"Гипотеза: признаки консолидации. 6 плательщиков: 2,02 млн ₸; 1 получатель: 605 тыс ₸. Отдано дальше 30% наблюдаемого входа. Оборот больше, чем у 98% активных узлов; связей больше, чем у 93%. По путям до 4 переходов связан с 3 исходными клиентами."
34,"100000008144528100","consolidator",0.920076,"Гипотеза: признаки консолидации. 5 плательщиков: 1,07 млн ₸; 0 получателей: 0 ₸. Отдано дальше 0% наблюдаемого входа. Оборот больше, чем у 93% активных узлов; связей больше, чем у 88%. По путям до 4 переходов связан с 4 исходными клиентами."
35,"100000003242289100","distributor",0.919616,"Гипотеза: веерная раздача. 3 плательщика: 550,79 тыс ₸; 23 получателя: 2,38 млн ₸. Источник средств вне выборки. Оборот больше, чем у 98% активных узлов; связей больше, чем у 98%. По путям до 4 переходов связан с 3 исходными клиентами."
36,"100000002838861100","consolidator",0.918596,"Гипотеза: признаки консолидации. 5 плательщиков: 554,52 тыс ₸; 1 получатель: 10 тыс ₸. Отдано дальше 2% наблюдаемого входа. Оборот больше, чем у 87% активных узлов; связей больше, чем у 91%. По путям до 4 переходов связан с 4 исходными клиентами."
37,"100000003404627100","terminal",0.916229,"Гипотеза: конечный получатель за период. 4 плательщика: 877,7 тыс ₸; 0 получателей: 0 ₸. Отдано дальше 0% наблюдаемого входа. Оборот больше, чем у 91% активных узлов; связей больше, чем у 85%. По путям до 4 переходов связан с 5 исходными клиентами."
38,"100000008730846100","consolidator",0.9155,"Гипотеза: признаки консолидации. 7 плательщиков: 155,04 тыс ₸; 3 получателя: 363,37 тыс ₸. Источник средств вне выборки. Оборот больше, чем у 86% активных узлов; связей больше, чем у 95%. По путям до 4 переходов связан с 4 исходными клиентами."
39,"100000004759121100","consolidator",0.913852,"Гипотеза: признаки консолидации. 6 плательщиков: 710 тыс ₸; 2 получателя: 312 тыс ₸. Отдано дальше 44% наблюдаемого входа. Оборот больше, чем у 92% активных узлов; связей больше, чем у 94%. По путям до 4 переходов связан с 3 исходными клиентами."
40,"100000001282143100","consolidator",0.913336,"Гипотеза: признаки консолидации. 5 плательщиков: 1,7 млн ₸; 0 получателей: 0 ₸. Отдано дальше 0% наблюдаемого входа. Оборот больше, чем у 95% активных узлов; связей больше, чем у 88%. По путям до 4 переходов связан с 5 исходными клиентами."
41,"100000008686313100","consolidator",0.912707,"Гипотеза: признаки консолидации. 6 плательщиков: 1,91 млн ₸; 7 получателей: 333,8 тыс ₸. Отдано дальше 17% наблюдаемого входа. Оборот больше, чем у 97% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 3 исходными клиентами."
42,"100000005782781100","distributor",0.910621,"Гипотеза: веерная раздача. Также признаки консолидации: 6 плательщиков. Получено 171,89 тыс ₸; 10 получателей: 1,26 млн ₸. Источник средств вне выборки. Оборот больше, чем у 94% активных узлов; связей больше, чем у 97%. По путям до 4 переходов связан с 3 исходными клиентами."
43,"100000005514161100","terminal",0.910173,"Гипотеза: конечный получатель за период. 4 плательщика: 401,5 тыс ₸; 1 получатель: 50 тыс ₸. Отдано дальше 12% наблюдаемого входа. Оборот больше, чем у 84% активных узлов; связей больше, чем у 88%. По путям до 4 переходов связан с 6 исходными клиентами."
44,"100000004486525100","consolidator",0.904296,"Гипотеза: признаки консолидации. 8 плательщиков: 360,92 тыс ₸; 2 получателя: 271,05 тыс ₸. Отдано дальше 75% наблюдаемого входа. Оборот больше, чем у 88% активных узлов; связей больше, чем у 95%. По путям до 4 переходов связан с 3 исходными клиентами."
45,"100000004962193100","consolidator",0.904071,"Гипотеза: признаки консолидации. 8 плательщиков: 900,47 тыс ₸; 0 получателей: 0 ₸. Отдано дальше 0% наблюдаемого входа. Оборот больше, чем у 91% активных узлов; связей больше, чем у 94%. По путям до 4 переходов связан с 3 исходными клиентами."
46,"100000008547844100","distributor",0.903488,"Гипотеза: веерная раздача. 3 плательщика: 177,6 тыс ₸; 19 получателей: 2,04 млн ₸. Источник средств вне выборки. Оборот больше, чем у 97% активных узлов; связей больше, чем у 98%. По путям до 4 переходов связан с 3 исходными клиентами."
47,"100000008733194100","distributor",0.902602,"Гипотеза: веерная раздача. 4 плательщика: 251,42 тыс ₸; 8 получателей: 159,69 тыс ₸. Отдано дальше 64% наблюдаемого входа. Оборот больше, чем у 82% активных узлов; связей больше, чем у 96%. По путям до 4 переходов связан с 4 исходными клиентами."
48,"100000005933757100","distributor",0.900594,"Гипотеза: веерная раздача. 4 плательщика: 1,25 млн ₸; 34 получателя: 3 млн ₸. Источник средств вне выборки. Оборот больше, чем у 99% активных узлов; связей больше, чем у 99%. По путям до 4 переходов связан с 2 исходными клиентами."
49,"100000003360542100","terminal",0.896815,"Гипотеза: конечный получатель за период. 2 плательщика: 317 тыс ₸; 2 получателя: 51,8 тыс ₸. Отдано дальше 16% наблюдаемого входа. Оборот больше, чем у 80% активных узлов; связей больше, чем у 85%. По путям до 4 переходов связан с 9 исходными клиентами."
50,"100000004997515100","terminal",0.896534,"Гипотеза: конечный получатель за период. 4 плательщика: 395 тыс ₸; 4 получателя: 54,5 тыс ₸. Отдано дальше 14% наблюдаемого входа. Оборот больше, чем у 84% активных узлов; связей больше, чем у 94%. По путям до 4 переходов связан с 5 исходными клиентами."
